ID No,Prog Code,Gender,YoG,CGPA,CGPA100,CGPA200,CGPA300,CGPA400,SGPA
75176,CHE,Male,2012,3.83,3.79,3.41,3.6,4.34,3.36
40146,CHE,Female,2012,4.03,4.17,3.51,4,4.5,3.83
48179,CHE,Male,2012,4.26,4.3,4.06,4.13,4.72,2.95
94862,CHE,Male,2012,3.68,3.79,3.18,3.72,4.56,3.13
59022,CHE,Female,2012,4.32,4.19,4.21,4.15,4.78,4.29
95041,CHE,Male,2012,4.01,4.19,3.53,4.19,4.41,2.66
25421,CHE,Male,2012,3.07,3.87,2.26,2.63,4.28,3.91
28326,CHE,Female,2013,2.97,3.89,2.45,2.74,2.47,3.52
88265,CHE,Female,2012,4,4.13,3.57,3.88,4.44,3.52
54849,CHE,Female,2012,4.5,4.62,4.35,4.57,4.78,3.28
38097,CHE,Male,2012,4.02,4.32,3.9,3.53,3.97,3.57
88946,CHE,Male,2012,3.84,3.87,3.33,3.77,4.47,3.13
